Student_ID,Study_Hours,Attendance,Previous_Score,Assignments_Completed,Sleep_Hours,Internet_Hours,Extra_Classes,Final_Score
60,5.2,70.0,66,4.0,7.3,1.1,Yes,65.7
61,3.4,96.0,94,2.0,6.8,11.1,Yes,59.0
62,9.8,87.0,75,9.0,7.1,8.9,No,83.3
63,7.0,55.0,95,9.0,5.3,3.7,No,79.2
64,6.7,85.0,65,6.0,6.2,8.8,Yes,60.7
65,4.5,79.0,45,4.0,4.8,5.2,Yes,51.9
66,1.7,71.0,77,10.0,6.3,1.7,No,57.5
67,9.5,89.0,37,11.0,5.9,1.1,No,67.6
68,5.3,98.0,88,10.0,7.7,7.0,Yes,78.2
69,4.0,76.0,38,8.0,5.7,8.5,No,48.7
70,10.2,53.0,38,8.0,7.0,8.3,Yes,67.1
71,2.5,74.0,58,2.0,5.3,4.6,No,37.9
72,9.4,69.0,70,8.0,5.3,1.9,Yes,82.2
73,1.6,67.0,63,12.0,4.3,11.5,Yes,57.2
74,11.4,57.0,37,11.0,4.8,2.4,Yes,75.6
75,3.4,89.0,67,7.0,4.8,7.7,Yes,61.8
76,2.8,64.0,48,11.0,4.1,4.4,No,47.8
77,8.9,49.0,66,3.0,7.5,4.3,Yes,70.6
78,7.2,47.0,79,10.0,6.1,5.1,No,62.5
79,5.6,76.0,48,8.0,8.8,8.0,No,59.2
80,5.8,91.0,69,11.0,8.0,6.9,No,69.5
81,10.1,82.0,69,7.0,8.3,10.1,Yes,73.8
82,6.0,93.0,94,11.0,7.1,5.2,Yes,83.8
83,4.6,76.0,62,7.0,8.0,4.7,No,58.7
84,6.7,57.0,45,5.0,7.6,6.4,Yes,58.1
85,8.1,76.0,92,2.0,4.5,3.4,Yes,69.5
86,7.4,75.0,79,8.0,9.0,7.1,No,75.6
87,4.0,61.0,64,3.0,7.6,4.5,Yes,47.9
88,9.1,62.0,71,3.0,8.2,4.3,No,61.1
89,1.2,79.0,51,6.0,4.2,1.6,No,45.2
90,2.4,100.0,97,3.0,8.4,7.3,No,59.2
91,4.7,48.0,67,9.0,4.6,1.7,No,51.7
92,7.9,48.0,54,4.0,8.1,11.4,Yes,64.3
93,2.3,93.0,88,11.0,7.0,7.8,No,65.0
94,5.9,100.0,89,6.0,6.8,1.7,Yes,84.3
95,3.3,58.0,68,12.0,4.4,3.6,Yes,57.9
96,5.5,89.0,95,6.0,4.2,4.2,No,72.4
97,6.0,88.0,64,6.0,7.9,7.9,Yes,63.1
98,7.0,86.0,54,6.0,8.1,1.8,Yes,71.9
99,7.5,97.0,71,9.0,4.6,8.6,No,76.6
100,6.5,76.0,91,3.0,7.0,10.8,No,64.4
101,1.3,59.0,37,12.0,8.1,7.3,Yes,47.3
102,8.2,62.0,58,11.0,6.2,10.0,Yes,69.7
103,5.5,65.0,48,4.0,5.6,8.6,No,47.9
104,5.4,93.0,39,9.0,4.4,3.8,Yes,66.2
105,5.4,77.0,35,12.0,8.3,6.1,Yes,56.6
106,5.0,93.0,98,12.0,6.2,1.6,No,82.2
107,11.2,73.0,97,3.0,4.1,7.9,Yes,84.5
108,4.4,45.0,87,3.0,5.1,10.3,Yes,54.0
109,2.3,98.0,54,9.0,8.7,4.2,No,53.7
110,6.3,75.0,66,9.0,6.8,5.2,Yes,75.4
111,4.0,95.0,88,7.0,8.7,6.6,Yes,67.4
112,4.3,82.0,97,4.0,6.2,6.3,No,63.8
113,7.0,74.0,76,5.0,8.9,3.6,No,63.3
114,9.5,47.0,75,9.0,7.5,9.9,No,79.9
115,9.7,86.0,54,9.0,8.8,2.4,No,81.4
116,10.6,73.0,47,10.0,8.6,1.2,Yes,78.6
117,8.2,54.0,44,9.0,7.9,3.9,No,64.7
118,10.4,99.0,83,7.0,7.1,10.8,No,85.7
119,1.4,49.0,65,12.0,7.4,4.2,Yes,61.9
120,5.8,51.0,47,9.0,4.8,4.3,Yes,50.3
121,,63.0,80,7.0,6.2,3.7,No,77.3
122,9.7,55.0,57,3.0,7.0,5.2,Yes,64.7
123,7.4,59.0,94,12.0,5.3,3.8,Yes,91.0
124,6.1,63.0,55,3.0,6.2,4.8,No,52.7
125,5.7,61.0,93,6.0,5.0,5.2,No,59.4
126,5.2,67.0,72,6.0,4.1,10.1,No,50.4
127,7.2,88.0,41,11.0,7.7,10.2,No,66.0
128,3.5,96.0,80,5.0,7.2,7.8,Yes,64.0
129,10.9,86.0,40,6.0,7.9,1.4,No,73.0
130,2.0,63.0,76,8.0,4.9,2.5,No,54.7
131,11.0,98.0,56,6.0,8.6,11.4,No,75.1
132,4.7,52.0,94,3.0,4.7,11.6,No,61.1
133,9.9,68.0,46,8.0,4.1,6.9,No,61.0
134,9.2,61.0,83,12.0,8.7,2.2,Yes,89.3
135,7.8,80.0,76,11.0,5.1,1.7,No,84.2
136,4.3,71.0,49,4.0,4.2,1.4,No,40.1
137,3.6,79.0,52,8.0,6.3,8.4,No,51.2
138,9.0,71.0,47,9.0,7.1,11.3,No,55.1
139,5.1,73.0,91,5.0,8.3,2.1,No,68.5
140,11.8,67.0,42,8.0,5.4,11.7,No,58.5
141,3.3,85.0,37,2.0,7.9,3.7,Yes,48.1
142,3.3,98.0,61,11.0,5.1,10.6,No,61.0
143,9.7,83.0,35,6.0,8.3,2.6,Yes,68.1
144,9.8,52.0,38,4.0,4.1,9.7,Yes,55.9
145,1.2,61.0,41,4.0,7.7,6.8,Yes,36.7
146,9.6,77.0,48,9.0,6.5,11.4,Yes,72.4
147,11.0,87.0,73,9.0,7.2,1.3,No,90.8
148,5.7,51.0,97,9.0,4.4,1.9,Yes,69.0
149,4.0,85.0,76,8.0,9.0,6.8,No,63.2
150,5.7,95.0,49,12.0,7.3,9.5,Yes,65.5
151,10.8,71.0,78,9.0,6.0,9.0,No,77.8
152,8.3,68.0,54,12.0,8.6,1.7,Yes,71.7
153,2.1,92.0,82,4.0,6.8,7.5,No,55.3
154,5.5,100.0,89,2.0,8.8,7.6,No,57.7
155,6.6,54.0,96,5.0,8.2,4.9,No,63.5
156,4.1,59.0,89,10.0,8.9,10.0,Yes,71.6
157,8.2,89.0,69,2.0,4.9,8.7,No,66.2
158,4.9,56.0,53,11.0,7.3,1.8,Yes,57.7
159,6.8,69.0,88,9.0,5.7,5.1,No,77.5
160,7.2,50.0,41,4.0,4.8,7.8,Yes,46.0
161,8.3,76.0,91,8.0,5.4,9.3,Yes,76.5
162,2.2,88.0,97,10.0,7.3,1.5,No,78.4
163,1.6,58.0,73,5.0,7.8,9.4,No,42.3
164,1.1,92.0,90,4.0,4.6,6.9,Yes,55.2
165,10.2,96.0,80,3.0,6.0,9.2,No,64.2
166,11.1,100.0,75,11.0,6.1,5.4,No,84.1
167,5.5,65.0,56,11.0,6.3,8.6,No,52.6
168,10.3,60.0,90,11.0,6.0,1.9,No,91.6
169,3.4,94.0,56,3.0,6.6,2.3,Yes,59.3
170,4.8,91.0,53,5.0,4.5,3.8,Yes,57.4
171,9.4,86.0,44,4.0,8.8,7.9,No,64.4
172,9.4,73.0,76,12.0,5.6,5.8,No,79.8
173,4.3,62.0,42,7.0,6.5,4.4,No,39.8
174,5.1,63.0,44,12.0,8.3,10.4,No,55.0
175,7.1,95.0,40,9.0,8.5,7.3,Yes,62.3
176,6.2,54.0,42,9.0,4.5,10.9,No,56.8
177,1.9,86.0,57,2.0,5.2,5.8,No,39.7
178,7.7,68.0,82,6.0,5.9,9.5,Yes,75.1
179,8.1,49.0,77,3.0,6.8,5.3,No,65.8
180,8.2,83.0,54,7.0,4.4,8.3,No,57.8
181,8.2,87.0,85,4.0,7.0,11.3,No,68.9
182,8.1,66.0,51,12.0,7.5,11.4,Yes,71.9
183,5.7,68.0,37,7.0,5.5,11.5,No,52.2
184,6.3,59.0,52,4.0,4.4,10.3,Yes,50.4
185,6.9,92.0,39,12.0,5.7,9.4,Yes,66.5
186,2.7,56.0,56,9.0,4.2,5.0,Yes,59.3
187,7.7,93.0,92,5.0,6.7,4.4,No,81.6
188,3.1,88.0,91,9.0,7.8,9.6,No,72.5
189,10.0,96.0,52,6.0,4.3,6.3,No,67.3
190,2.1,99.0,50,6.0,4.4,2.8,No,52.6
191,2.6,72.0,46,5.0,8.1,10.7,Yes,42.2
192,5.4,68.0,65,8.0,9.0,5.1,Yes,63.3
193,2.1,90.0,77,4.0,4.7,4.2,No,54.0
194,2.5,90.0,95,9.0,7.1,11.0,Yes,63.7
195,10.2,80.0,89,3.0,7.9,3.6,Yes,74.7
196,5.6,95.0,93,3.0,4.6,11.0,Yes,67.3
197,7.3,90.0,53,6.0,6.1,7.8,Yes,64.1
198,3.1,87.0,45,10.0,8.9,1.7,Yes,58.2
199,6.2,85.0,84,7.0,5.3,1.2,Yes,72.5
200,9.1,85.0,48,11.0,7.7,4.7,Yes,74.0
201,4.7,86.0,57,12.0,6.3,8.6,Yes,70.3
202,1.7,94.0,93,2.0,5.5,1.5,Yes,65.3
203,4.5,64.0,85,10.0,6.4,1.4,Yes,69.9
204,10.5,48.0,77,6.0,4.6,5.0,No,75.7
205,10.8,69.0,78,4.0,6.5,6.5,No,77.9
206,9.0,50.0,90,11.0,9.0,3.0,No,81.7
207,1.9,87.0,72,6.0,6.2,8.9,Yes,56.6
208,4.9,47.0,80,11.0,9.0,4.0,Yes,65.9
209,8.0,68.0,55,2.0,4.7,7.7,No,44.5
210,1.7,94.0,81,7.0,5.9,7.2,Yes,62.2
211,11.4,68.0,91,3.0,6.9,6.8,No,74.9
212,4.1,52.0,38,4.0,6.5,5.3,Yes,39.2
213,3.9,73.0,62,11.0,5.4,11.1,No,50.7
214,2.5,49.0,92,4.0,8.5,5.9,Yes,63.3
215,11.6,65.0,79,3.0,6.7,4.2,No,80.9
216,8.8,89.0,57,7.0,6.5,2.3,Yes,78.3
217,3.6,76.0,38,7.0,6.8,5.1,Yes,51.2
218,1.9,64.0,85,9.0,6.6,9.5,Yes,53.8
219,4.5,49.0,92,9.0,7.4,4.8,Yes,75.5
220,2.4,77.0,42,3.0,6.6,4.3,Yes,39.0
221,8.8,67.0,71,3.0,5.3,8.0,No,55.5
222,4.3,79.0,46,10.0,7.2,7.5,Yes,52.6
223,7.9,83.0,78,11.0,4.2,10.5,Yes,69.7
224,8.1,81.0,68,12.0,5.1,7.3,Yes,77.9
225,7.9,63.0,73,9.0,5.2,9.9,No,63.7
226,1.8,48.0,55,9.0,6.1,6.1,No,46.5
227,4.4,90.0,75,7.0,8.9,2.4,No,65.8
228,2.2,60.0,94,3.0,5.3,3.7,Yes,49.6
229,11.4,100.0,88,5.0,8.8,10.9,No,89.7
230,8.9,57.0,55,9.0,9.0,6.1,No,68.0
231,2.0,70.0,93,5.0,5.1,4.9,Yes,55.7
232,7.6,98.0,95,6.0,6.7,10.3,No,68.6
233,3.9,68.0,86,7.0,4.2,1.6,Yes,63.9
234,4.2,69.0,92,10.0,5.4,11.9,Yes,62.5
235,2.1,68.0,78,10.0,8.7,9.3,Yes,63.4
236,5.4,47.0,40,2.0,4.7,4.7,No,39.0
237,2.6,77.0,52,7.0,8.7,4.5,No,57.3
238,9.1,64.0,78,10.0,8.1,6.9,No,77.4
239,1.2,66.0,49,8.0,6.9,9.8,Yes,45.6
240,3.9,86.0,64,2.0,6.9,2.9,No,44.8
241,8.5,47.0,49,5.0,4.1,4.5,Yes,57.3
242,3.2,77.0,95,2.0,7.5,6.7,No,64.4
243,6.3,69.0,75,4.0,6.3,6.9,No,61.9
244,10.5,88.0,68,11.0,6.4,11.5,No,79.4
245,3.5,64.0,71,5.0,7.5,6.4,No,49.6
246,11.3,,70,6.0,4.6,8.4,No,81.5
247,5.3,67.0,53,6.0,4.2,11.5,Yes,48.4
248,5.9,61.0,96,5.0,5.0,6.9,No,59.0
249,7.8,82.0,65,5.0,4.3,11.0,Yes,65.0
250,1.6,71.0,77,9.0,4.5,9.5,Yes,62.8
251,11.8,55.0,87,12.0,8.7,10.7,No,91.0
252,9.3,63.0,76,6.0,7.2,11.0,Yes,74.8
253,3.6,92.0,39,4.0,6.1,10.2,Yes,51.5
254,5.4,76.0,58,6.0,8.4,1.1,Yes,70.5
255,4.7,74.0,98,4.0,8.3,6.1,Yes,74.3
256,4.6,91.0,93,12.0,5.3,3.0,No,81.4
257,7.2,93.0,59,4.0,7.1,8.0,No,64.1
258,6.7,50.0,86,12.0,4.5,11.8,No,66.6
259,3.7,61.0,84,5.0,6.2,3.9,No,54.0
260,9.0,45.0,68,12.0,5.8,3.6,Yes,78.3
261,2.8,88.0,74,3.0,7.2,11.3,No,49.6
262,3.4,53.0,96,4.0,6.3,11.9,No,52.0
263,7.0,75.0,62,5.0,7.4,7.6,Yes,63.6
264,6.8,68.0,44,11.0,4.6,10.1,Yes,61.9
265,2.6,65.0,91,3.0,7.4,8.9,No,45.5
266,6.6,96.0,42,9.0,4.7,5.6,Yes,63.5
267,8.4,64.0,37,8.0,5.3,1.0,Yes,65.0
268,1.5,67.0,43,10.0,9.0,11.3,Yes,54.5
269,6.2,63.0,87,4.0,7.8,9.4,No,60.0
270,10.8,73.0,83,8.0,4.4,11.6,Yes,83.1
271,4.8,56.0,85,10.0,4.6,11.8,Yes,69.6
272,11.8,74.0,89,10.0,5.9,3.5,No,88.2
273,4.0,91.0,49,2.0,8.0,5.6,Yes,45.2
274,1.7,83.0,39,9.0,7.0,8.7,Yes,42.2
275,1.5,73.0,64,10.0,5.1,10.5,Yes,46.4
276,11.9,59.0,75,11.0,7.0,8.4,No,79.5
277,10.6,87.0,63,8.0,5.5,1.7,Yes,83.6
278,5.7,76.0,41,7.0,8.7,8.4,No,55.0
279,5.5,64.0,83,4.0,7.8,6.2,Yes,61.5
280,8.8,96.0,94,2.0,6.8,11.6,Yes,72.8
281,3.8,66.0,45,9.0,8.2,2.0,Yes,50.0
282,5.1,83.0,40,3.0,4.9,9.4,Yes,44.7
283,10.6,66.0,73,2.0,5.1,3.1,Yes,76.3
284,9.3,60.0,61,8.0,8.6,7.1,No,67.3
285,6.9,67.0,74,6.0,5.8,10.7,No,54.1
286,11.8,75.0,75,5.0,5.9,5.6,Yes,85.0
287,1.2,80.0,88,6.0,4.8,4.6,No,55.0
288,3.7,80.0,78,6.0,7.8,6.4,No,58.0
289,9.1,67.0,56,4.0,7.6,6.4,Yes,65.7
290,10.2,49.0,41,2.0,6.1,10.3,Yes,47.6
291,2.7,58.0,93,7.0,4.3,8.0,No,58.8
292,1.2,79.0,87,2.0,4.1,8.9,No,36.5
293,9.9,88.0,90,4.0,4.5,2.1,Yes,78.0
294,7.8,61.0,80,6.0,8.0,1.9,No,70.8
295,3.7,89.0,63,6.0,7.4,10.3,Yes,49.3
296,5.2,80.0,95,2.0,7.2,8.7,Yes,64.9
297,5.8,95.0,77,11.0,8.9,11.7,Yes,70.9
298,10.9,89.0,95,6.0,4.2,1.8,No,92.1
299,7.2,47.0,57,7.0,4.1,3.3,Yes,65.6
300,8.8,70.0,44,6.0,4.8,3.6,No,62.0
301,6.9,69.0,52,3.0,6.5,11.7,Yes,46.0
302,3.6,49.0,78,11.0,7.8,11.5,No,66.6
303,4.6,85.0,69,9.0,6.5,4.9,No,61.9
304,8.5,87.0,83,3.0,7.9,4.2,Yes,79.0
305,1.9,54.0,83,12.0,4.8,5.3,No,53.2
306,1.1,64.0,91,7.0,7.8,2.1,Yes,57.1
307,5.9,80.0,87,3.0,4.1,4.9,Yes,67.0
308,9.6,100.0,84,2.0,5.5,5.3,Yes,80.1
309,7.2,60.0,56,12.0,5.9,2.5,No,64.5
310,2.6,55.0,90,6.0,6.1,6.3,Yes,57.3
311,11.4,91.0,98,11.0,7.1,6.0,Yes,96.6
312,11.4,66.0,83,7.0,6.2,5.7,Yes,81.7
313,7.6,89.0,60,9.0,5.6,11.6,No,60.6
314,8.6,76.0,66,7.0,5.9,10.0,No,63.4
315,11.3,57.0,58,12.0,7.8,1.3,No,89.3
316,3.3,96.0,72,3.0,8.1,9.8,No,53.8
317,2.5,64.0,65,6.0,7.3,8.9,No,40.1
318,11.9,75.0,86,10.0,6.5,11.1,No,86.7
319,9.7,68.0,45,3.0,7.8,8.2,No,51.6
320,7.7,81.0,86,7.0,8.8,5.7,Yes,73.1
321,3.4,92.0,63,9.0,5.9,6.1,Yes,58.7
322,1.3,51.0,72,8.0,8.6,1.9,Yes,54.3
323,4.8,95.0,61,10.0,6.4,6.2,No,66.1
324,6.0,49.0,73,2.0,8.1,2.3,No,58.7
325,8.4,55.0,66,10.0,4.9,2.8,No,77.8
326,3.6,70.0,58,4.0,7.2,5.8,Yes,54.9
327,10.7,73.0,89,8.0,4.0,3.4,No,87.1
328,9.9,49.0,48,10.0,4.9,4.6,No,60.4
329,8.4,76.0,75,11.0,5.9,5.3,Yes,78.5
330,10.3,84.0,57,12.0,7.5,4.3,Yes,87.0
331,4.4,60.0,74,3.0,4.9,8.6,No,47.4
332,2.5,69.0,89,4.0,6.4,6.9,Yes,58.3
333,6.4,53.0,58,7.0,8.2,7.8,No,64.2
334,6.3,57.0,84,10.0,6.5,6.4,No,68.9
335,10.2,76.0,56,3.0,6.8,9.8,Yes,62.0
336,4.0,79.0,71,4.0,7.9,7.2,No,54.3
337,2.2,52.0,69,10.0,8.1,5.0,Yes,63.2
338,5.9,58.0,89,3.0,7.7,8.2,Yes,61.1
339,12.0,73.0,68,7.0,8.3,2.0,Yes,90.5
340,3.6,96.0,79,11.0,7.2,2.8,Yes,78.4
341,9.9,96.0,42,11.0,5.8,4.1,Yes,73.8
342,8.7,63.0,69,10.0,8.9,8.5,Yes,71.3
343,9.3,71.0,42,6.0,8.3,2.4,Yes,63.5
344,8.8,98.0,66,12.0,6.0,2.6,No,82.8
345,5.1,49.0,46,8.0,6.6,4.1,No,50.4
346,6.4,82.0,35,3.0,7.7,6.0,No,52.7
347,9.8,70.0,62,8.0,8.1,6.4,No,77.4
348,4.7,81.0,51,11.0,8.3,9.7,Yes,54.8
349,7.9,98.0,93,2.0,4.6,10.4,No,66.2
350,11.9,72.0,60,4.0,8.4,4.3,No,66.6
351,5.0,50.0,82,12.0,8.5,2.8,No,73.8
352,9.0,93.0,64,8.0,7.3,8.7,Yes,70.8
353,1.9,82.0,63,10.0,7.4,1.1,No,62.5
354,11.9,72.0,51,9.0,4.4,5.2,Yes,71.4
355,5.0,64.0,52,8.0,7.9,9.3,Yes,58.9
356,8.4,49.0,36,11.0,7.3,5.8,Yes,66.9
357,2.7,71.0,91,5.0,4.4,2.1,Yes,63.1
358,5.2,72.0,75,4.0,5.2,8.1,Yes,59.6
359,7.6,83.0,71,2.0,8.2,8.2,No,56.0
360,7.7,57.0,85,6.0,7.2,9.6,Yes,71.1
361,2.2,76.0,44,10.0,8.4,1.1,No,58.7
362,2.5,100.0,88,7.0,6.7,2.9,No,71.2
363,9.5,46.0,43,2.0,5.3,1.4,Yes,64.7
364,5.4,63.0,88,8.0,7.5,1.9,Yes,70.8
365,4.4,77.0,61,4.0,6.7,5.3,Yes,52.1
366,5.8,99.0,65,2.0,5.2,11.2,Yes,54.6
367,7.7,64.0,57,3.0,4.1,2.5,Yes,54.1
368,11.5,78.0,68,4.0,5.9,9.2,No,74.3
369,2.3,46.0,77,8.0,5.4,1.7,Yes,58.1
370,6.6,48.0,98,11.0,4.8,2.7,Yes,87.6
371,8.4,52.0,64,10.0,4.0,10.4,Yes,64.0
372,6.2,69.0,54,4.0,8.7,10.4,No,46.9
373,3.7,91.0,75,6.0,8.1,7.3,Yes,62.7
374,10.9,56.0,63,10.0,8.9,11.5,Yes,84.5
375,10.5,94.0,74,7.0,4.4,6.0,No,72.2
376,7.2,64.0,66,9.0,5.8,11.7,Yes,69.8
377,7.0,95.0,66,4.0,4.0,5.5,Yes,64.7
378,8.0,89.0,36,7.0,4.0,8.2,No,48.1
379,6.8,60.0,88,9.0,8.8,11.7,Yes,77.9
380,2.0,59.0,87,7.0,6.3,9.2,Yes,57.2
381,8.0,70.0,44,,6.8,5.8,Yes,64.4
382,3.9,65.0,85,7.0,5.6,4.0,Yes,72.1
383,2.5,94.0,48,4.0,4.5,5.9,No,39.6
384,6.9,94.0,61,9.0,5.5,3.9,Yes,65.0
385,9.9,64.0,40,5.0,8.2,4.6,Yes,68.1
386,11.7,70.0,41,12.0,5.5,10.0,Yes,68.4
387,5.4,73.0,66,3.0,6.3,9.8,Yes,48.6
388,1.7,94.0,63,4.0,5.0,5.4,Yes,50.2
389,3.8,97.0,44,2.0,9.0,3.2,No,50.9
390,2.0,99.0,77,3.0,4.2,6.1,Yes,59.4
391,5.8,91.0,85,9.0,4.1,8.5,Yes,70.3
392,11.0,62.0,70,9.0,8.4,1.4,Yes,88.5
393,6.5,80.0,96,2.0,4.4,5.2,No,60.0
394,10.7,78.0,66,12.0,9.0,7.0,Yes,95.3
395,9.6,67.0,96,10.0,7.9,4.8,No,85.2
396,3.0,65.0,63,2.0,8.5,9.6,Yes,51.2
397,6.2,67.0,64,4.0,4.5,8.2,No,53.0
398,9.7,92.0,42,5.0,6.9,11.8,No,56.5
399,10.2,99.0,57,4.0,5.2,4.5,No,74.5
400,1.3,89.0,80,11.0,6.8,7.2,Yes,69.3
401,9.9,76.0,74,4.0,6.5,2.0,Yes,78.4
402,1.2,75.0,35,7.0,8.6,3.2,Yes,41.5
403,3.0,96.0,76,2.0,4.1,7.5,Yes,56.7
404,10.3,100.0,81,3.0,5.9,11.4,No,72.9
405,4.7,65.0,52,4.0,7.7,5.8,No,50.2
406,2.9,80.0,80,5.0,7.3,10.0,No,50.0
407,8.6,53.0,57,2.0,8.7,11.4,No,59.1
408,9.5,81.0,39,4.0,7.0,11.1,Yes,61.1
409,2.1,76.0,53,7.0,7.7,3.6,No,42.7
410,10.7,50.0,77,9.0,4.1,3.3,Yes,79.3
411,9.7,91.0,35,2.0,5.9,9.1,Yes,62.7
412,6.4,69.0,79,10.0,5.9,10.1,Yes,66.1
413,1.8,99.0,39,6.0,4.1,3.9,Yes,37.7
414,2.9,69.0,55,3.0,6.7,10.9,Yes,40.4
415,11.8,75.0,38,8.0,8.7,2.8,No,67.1
416,2.1,58.0,59,8.0,7.5,8.9,No,48.7
417,4.3,51.0,41,8.0,6.9,10.2,Yes,40.8
418,1.0,50.0,72,12.0,7.1,6.3,Yes,50.3
419,2.9,63.0,45,9.0,8.2,4.4,No,48.4
420,10.8,61.0,46,12.0,6.7,3.0,No,73.1
421,5.9,61.0,91,9.0,5.3,10.2,Yes,65.7
422,8.7,51.0,45,12.0,5.7,7.0,Yes,69.4
423,10.2,97.0,88,10.0,7.4,11.3,Yes,88.8
424,1.9,99.0,39,10.0,6.9,6.7,Yes,45.3
425,9.3,56.0,56,5.0,8.0,2.4,No,58.1
426,8.5,57.0,53,11.0,5.3,11.0,Yes,60.7
427,7.1,80.0,76,6.0,6.6,11.1,Yes,72.3
428,7.9,78.0,88,3.0,6.1,2.6,Yes,80.9
429,7.2,51.0,71,10.0,8.4,10.7,No,64.6
430,6.3,83.0,95,2.0,4.9,5.4,No,57.2
431,10.8,66.0,65,2.0,7.7,11.1,No,55.7
432,10.0,64.0,74,6.0,8.2,10.4,Yes,82.5
433,3.5,64.0,91,7.0,5.3,5.6,Yes,59.7
434,3.3,97.0,87,9.0,7.8,10.5,Yes,69.0
435,2.7,64.0,86,4.0,7.9,6.8,Yes,52.4
436,10.6,57.0,42,5.0,4.2,1.6,No,64.4
437,4.0,97.0,94,10.0,6.0,11.2,Yes,68.7
438,6.4,73.0,57,9.0,6.9,4.8,Yes,72.2
439,3.8,98.0,46,6.0,4.1,1.5,Yes,59.6
440,8.1,88.0,61,6.0,7.3,6.6,Yes,69.1
441,2.5,56.0,36,5.0,5.3,9.9,No,35.5
442,8.8,62.0,89,8.0,8.3,6.0,Yes,81.7
443,8.4,97.0,85,11.0,4.5,6.6,No,82.0
444,7.5,63.0,73,12.0,4.5,1.7,No,76.9
445,10.5,61.0,73,5.0,4.7,9.4,Yes,76.8
446,9.8,83.0,86,12.0,5.6,2.5,Yes,95.0
